Location,2018_Per_capita_personal_income_in_dollars,2019_Per_capita_personal_income_in_dollars,2020_Per_capita_personal_income_in_dollars,2019_Percent_change,2020_Percent_change
Morgan,"44,559","44,991","48,701",1.0,8.2
Otero,"35,777","37,231","41,333",4.1,11.0
Ouray,"62,568","63,263","67,263",1.1,6.3
Park,"43,157","45,623","48,514",5.7,6.3
Phillips,"41,503","43,788","49,877",5.5,13.9
Pitkin,"150,112","156,830","155,067",4.5,-1.1
Prowers,"39,659","39,120","41,990",-1.4,7.3
Pueblo,"37,969","39,533","43,196",4.1,9.3
Rio Blanco,"46,929","48,829","52,422",4.0,7.4
Rio Grande,"45,214","48,202","53,641",6.6,11.3
Routt,"78,807","82,153","85,836",4.2,4.5
Saguache,"31,895","34,439","40,032",8.0,16.2
San Juan,"41,734","45,631","50,039",9.3,9.7
San Miguel,"85,260","89,728","93,954",5.2,4.7
Sedgwick,"39,979","44,765","50,896",12.0,13.7
Summit,"69,416","73,435","77,754",5.8,5.9
Teller,"49,047","51,337","54,587",4.7,6.3
Washington,"38,049","41,706","49,287",9.6,18.2
Weld,"47,884","48,923","52,054",2.2,6.4
Yuma,"41,981","44,056","47,285",4.9,7.3
Connecticut,"73,929","75,794","78,609",2.5,3.7
Fairfield,"116,757","118,515","120,244",1.5,1.5
Hartford,"63,014","64,545","67,938",2.4,5.3
Litchfield,"61,979","65,086","67,118",5.0,3.1
Middlesex,"66,258","68,361","71,291",3.2,4.3
New Haven,"54,773","56,710","60,092",3.5,6.0
New London,"56,567","58,122","61,191",2.7,5.3
Tolland,"54,956","56,891","59,590",3.5,4.7
Windham,"44,751","47,261","50,747",5.6,7.4
Delaware,"53,062","53,793","56,097",1.4,4.3
Kent,"42,155","43,761","46,600",3.8,6.5
New Castle,"57,085","57,404","59,955",0.6,4.4
Sussex,"51,790","52,935","54,352",2.2,2.7
District of Columbia,"80,342","80,819","86,567",0.6,7.1
Florida,"51,150","53,034","55,675",3.7,5.0
Alachua,"44,705","46,636","49,556",4.3,6.3
Baker,"33,285","33,913","36,552",1.9,7.8
Bay,"43,020","46,818","50,696",8.8,8.3
Bradford,"33,688","33,971","36,301",0.8,6.9
Brevard,"46,145","48,539","51,507",5.2,6.1
Broward,"50,458","52,864","55,908",4.8,5.8
Calhoun,"27,374","29,081","32,264",6.2,10.9
Charlotte,"42,292","43,549","45,606",3.0,4.7
Citrus,"38,263","39,701","41,933",3.8,5.6
Clay,"43,544","44,818","47,407",2.9,5.8
Collier,"99,997","103,205","103,865",3.2,0.6
Columbia,"34,842","35,600","38,243",2.2,7.4
DeSoto,"24,369","25,717","27,863",5.5,8.3
Dixie,"28,455","28,519","30,651",0.2,7.5
Duval,"46,061","48,096","51,131",4.4,6.3
Escambia,"42,744","44,377","47,381",3.8,6.8
Flagler,"47,099","48,754","50,599",3.5,3.8
Franklin,"36,912","37,169","39,452",0.7,6.1
Gadsden,"34,179","35,696","38,507",4.4,7.9
Gilchrist,"33,608","34,069","37,425",1.4,9.9
Glades,"24,336","25,566","28,116",5.1,10.0
Gulf,"37,117","45,559","49,666",22.7,9.0
Hamilton,"26,880","26,884","29,383",0.0,9.3
Hardee,"27,010","28,389","31,775",5.1,11.9
Hendry,"30,939","31,921","35,546",3.2,11.4
Hernando,"37,274","38,612","41,385",3.6,7.2
Highlands,"33,047","34,433","37,158",4.2,7.9
Hillsborough,"46,775","48,586","51,848",3.9,6.7
Holmes,"30,944","32,195","34,661",4.0,7.7
Indian River,"79,972","83,241","84,607",4.1,1.6
Jackson,"32,925","35,371","38,710",7.4,9.4
Jefferson,"39,930","42,058","44,065",5.3,4.8
Lafayette,"24,610","27,008","30,032",9.7,11.2
Lake,"43,160","44,253","46,563",2.5,5.2
Lee,"52,022","52,832","54,707",1.6,3.5
Leon,"44,528","46,126","48,850",3.6,5.9
Levy,"36,173","37,176","40,598",2.8,9.2
Liberty,"24,601","25,697","28,496",4.5,10.9
Madison,"32,334","32,851","35,828",1.6,9.1
Manatee,"48,450","50,108","52,395",3.4,4.6
Marion,"37,497","38,754","41,553",3.4,7.2
Martin,"83,846","87,423","89,185",4.3,2.0
Miami-Dade,"52,942","54,316","57,213",2.6,5.3
Monroe,"98,438","104,370","106,583",6.0,2.1
Nassau,"61,013","62,700","64,746",2.8,3.3
Okaloosa,"48,852","51,341","54,630",5.1,6.4
Okeechobee,"30,637","32,236","34,998",5.2,8.6
Orange,"44,751","46,645","49,390",4.2,5.9
Osceola,"34,848","36,258","39,210",4.0,8.1
Palm Beach,"82,076","85,213","87,478",3.8,2.7
