Location,2018_Per_capita_personal_income_in_dollars,2019_Per_capita_personal_income_in_dollars,2020_Per_capita_personal_income_in_dollars,2019_Percent_change,2020_Percent_change
Fairfield,"46,436","47,809","51,153",3.0,7.0
Fayette,"38,583","40,049","46,261",3.8,15.5
Franklin,"50,184","51,467","55,294",2.6,7.4
Fulton,"45,506","47,145","50,349",3.6,6.8
Gallia,"39,560","40,492","43,932",2.4,8.5
Geauga,"69,949","71,824","73,958",2.7,3.0
Greene,"50,478","51,648","54,645",2.3,5.8
Guernsey,"40,629","41,731","45,218",2.7,8.4
Hamilton,"59,550","61,458","65,035",3.2,5.8
Hancock,"50,191","50,556","54,386",0.7,7.6
Hardin,"32,894","33,253","36,506",1.1,9.8
Harrison,"38,607","39,466","42,014",2.2,6.5
Henry,"44,650","46,216","50,752",3.5,9.8
Highland,"36,269","37,274","41,094",2.8,10.2
Hocking,"38,010","39,253","42,337",3.3,7.9
Holmes,"45,612","47,386","48,118",3.9,1.5
Huron,"40,609","41,776","45,844",2.9,9.7
Jackson,"35,514","36,816","40,663",3.7,10.4
Jefferson,"38,916","40,683","44,375",4.5,9.1
Knox,"43,197","44,390","47,964",2.8,8.1
Lake,"51,402","52,811","56,085",2.7,6.2
Lawrence,"38,521","39,413","42,905",2.3,8.9
Licking,"46,030","47,498","50,810",3.2,7.0
Logan,"43,047","44,189","48,471",2.7,9.7
Lorain,"46,507","47,989","51,157",3.2,6.6
Lucas,"46,147","47,719","51,024",3.4,6.9
Madison,"41,247","42,296","46,679",2.5,10.4
Mahoning,"42,992","44,315","47,729",3.1,7.7
Marion,"37,393","37,873","41,449",1.3,9.4
Medina,"56,311","57,630","60,514",2.3,5.0
Meigs,"34,713","36,055","39,644",3.9,10.0
Mercer,"52,830","50,940","54,527",-3.6,7.0
Miami,"47,759","48,999","52,469",2.6,7.1
Monroe,"35,404","37,565","41,242",6.1,9.8
Montgomery,"46,786","48,143","51,618",2.9,7.2
Morgan,"33,024","34,508","38,583",4.5,11.8
Morrow,"39,275","40,740","44,282",3.7,8.7
Muskingum,"40,855","42,506","46,070",4.0,8.4
Noble,"27,335","27,981","30,397",2.4,8.6
Ottawa,"52,226","54,026","57,446",3.4,6.3
Paulding,"40,818","41,831","46,097",2.5,10.2
Perry,"37,505","38,562","41,913",2.8,8.7
Pickaway,"40,924","42,169","46,033",3.0,9.2
Pike,"37,706","38,804","42,774",2.9,10.2
Portage,"44,319","45,500","48,285",2.7,6.1
Preble,"40,164","41,302","45,016",2.8,9.0
Putnam,"49,465","50,699","54,646",2.5,7.8
Richland,"39,173","40,313","43,928",2.9,9.0
Ross,"37,235","39,010","42,348",4.8,8.6
Sandusky,"41,563","42,343","46,113",1.9,8.9
Scioto,"39,122","40,794","43,820",4.3,7.4
Seneca,"39,002","40,458","44,993",3.7,11.2
Shelby,"45,556","46,069","49,956",1.1,8.4
Stark,"44,912","46,384","49,592",3.3,6.9
Summit,"51,404","53,580","56,821",4.2,6.0
Trumbull,"41,043","41,559","45,142",1.3,8.6
Tuscarawas,"43,952","45,039","47,937",2.5,6.4
Union,"58,905","59,835","64,147",1.6,7.2
Van Wert,"42,507","43,120","47,339",1.4,9.8
Vinton,"33,713","35,022","38,881",3.9,11.0
Warren,"60,439","62,896","65,855",4.1,4.7
Washington,"43,360","44,343","47,365",2.3,6.8
Wayne,"45,133","46,939","49,901",4.0,6.3
Williams,"41,256","42,965","46,040",4.1,7.2
Wood,"47,624","48,566","51,147",2.0,5.3
Wyandot,"44,854","46,032","50,573",2.6,9.9
Oklahoma,"46,298","48,317","49,878",4.4,3.2
Adair,"29,020","29,926","32,724",3.1,9.3
Alfalfa,"39,579","40,970","43,043",3.5,5.1
Atoka,"32,121","32,869","34,758",2.3,5.7
Beaver,"52,237","54,416","57,190",4.2,5.1
Beckham,"38,847","39,364","41,041",1.3,4.3
Blaine,"42,419","43,857","44,435",3.4,1.3
Bryan,"34,189","35,545","37,561",4.0,5.7
Caddo,"35,750","37,535","39,673",5.0,5.7
Canadian,"45,975","46,596","48,267",1.4,3.6
Carter,"43,074","44,167","45,874",2.5,3.9
Cherokee,"32,574","33,943","35,764",4.2,5.4
Choctaw,"30,998","32,340","35,627",4.3,10.2
Cimarron,"61,295","66,785","68,446",9.0,2.5
Cleveland,"45,295","46,488","48,042",2.6,3.3
Coal,"36,378","38,752","38,938",6.5,0.5
Comanche,"41,285","42,639","45,432",3.3,6.6
Cotton,"40,230","43,995","47,794",9.4,8.6
Craig,"37,375","39,286","41,477",5.1,5.6
Creek,"40,612","42,591","44,706",4.9,5.0
Custer,"40,152","41,708","43,373",3.9,4.0
Delaware,"32,594","33,819","35,435",3.8,4.8
Dewey,"46,491","50,635","51,656",8.9,2.0
Ellis,"51,734","53,949","55,592",4.3,3.0
Garfield,"44,288","45,053","46,702",1.7,3.7
Garvin,"38,315","40,132","42,189",4.7,5.1
Grady,"40,277","41,854","43,506",3.9,3.9
Grant,"41,607","47,131","53,075",13.3,12.6
Greer,"28,163","29,876","32,547",6.1,8.9
Harmon,"36,852","41,582","45,688",12.8,9.9
Harper,"49,199","50,182","50,223",2.0,0.1
Haskell,"32,348","33,186","33,617",2.6,1.3
Hughes,"39,298","41,863","43,758",6.5,4.5
Jackson,"40,299","43,272","46,426",7.4,7.3
Jefferson,"32,673","34,158","37,467",4.5,9.7
Johnston,"36,732","35,555","38,971",-3.2,9.6
Kay,"40,172","41,813","44,718",4.1,6.9
Kingfisher,"53,924","56,383","58,591",4.6,3.9
Kiowa,"34,220","37,429","40,736",9.4,8.8
Latimer,"34,208","34,821","35,756",1.8,2.7
Le Flore,"32,225","33,527","35,362",4.0,5.5
Lincoln,"35,363","36,731","39,164",3.9,6.6
Logan,"43,406","44,566","46,102",2.7,3.4
Love,"37,752","38,248","40,353",1.3,5.5
McClain,"46,437","48,780","49,683",5.0,1.9
McCurtain,"32,168","33,072","35,511",2.8,7.4
McIntosh,"33,408","35,972","38,217",7.7,6.2
Major,"44,485","44,106","45,667",-0.9,3.5
Marshall,"33,202","34,406","36,800",3.6,7.0
Mayes,"35,604","36,741","39,149",3.2,6.6
Murray,"42,637","43,556","45,419",2.2,4.3
Muskogee,"36,149","37,881","39,894",4.8,5.3
Noble,"41,795","44,736","47,378",7.0,5.9
Nowata,"35,887","37,236","39,961",3.8,7.3
Okfuskee,"29,158","31,625","33,520",8.5,6.0
Oklahoma,"51,313","55,917","56,971",9.0,1.9
Okmulgee,"33,559","35,187","37,367",4.9,6.2
Osage,"34,875","36,438","38,588",4.5,5.9
Ottawa,"36,490","38,356","40,876",5.1,6.6
Pawnee,"35,970","37,399","39,491",4.0,5.6
Payne,"37,034","39,113","40,487",5.6,3.5
Pittsburg,"38,415","39,638","40,786",3.2,2.9
Pontotoc,"42,860","45,121","47,748",5.3,5.8
Pottawatomie,"37,181","39,769","40,043",7.0,0.7
Pushmataha,"31,747","32,731","35,650",3.1,8.9
Roger Mills,"44,984","44,266","46,054",-1.6,4.0
Rogers,"46,769","48,836","50,583",4.4,3.6
Seminole,"33,581","35,152","37,463",4.7,6.6
Sequoyah,"32,733","34,256","36,537",4.7,6.7
Stephens,"42,376","44,182","46,027",4.3,4.2
Texas,"53,030","56,591","55,434",6.7,-2.0
Tillman,"33,991","38,114","38,316",12.1,0.5
Tulsa,"63,340","64,444","65,519",1.7,1.7
Wagoner,"40,116","41,458","43,111",3.3,4.0
Washington,"63,641","59,436","58,010",-6.6,-2.4
Washita,"34,818","36,574","38,017",5.0,3.9
Woods,"44,551","45,859","47,226",2.9,3.0
Woodward,"38,117","38,420","40,710",0.8,6.0
Oregon,"50,535","52,462","56,312",3.8,7.3
Baker,"40,070","41,658","46,277",4.0,11.1
Benton,"45,846","47,920","50,399",4.5,5.2
Clackamas,"58,903","61,375","64,791",4.2,5.6
Clatsop,"44,901","45,743","48,777",1.9,6.6
Columbia,"43,828","45,379","48,749",3.5,7.4
Coos,"43,550","46,120","50,581",5.9,9.7
Crook,"41,415","42,981","46,179",3.8,7.4
Curry,"42,714","44,490","48,046",4.2,8.0
Deschutes,"55,473","57,493","61,216",3.6,6.5
Douglas,"40,455","41,804","46,342",3.3,10.9
Gilliam,"50,504","56,907","67,754",12.7,19.1
Grant,"41,220","42,596","47,569",3.3,11.7
Harney,"39,000","40,779","47,009",4.6,15.3
Hood River,"54,963","55,609","60,225",1.2,8.3
Jackson,"45,903","47,708","51,824",3.9,8.6
Jefferson,"34,350","35,376","39,552",3.0,11.8
Josephine,"40,980","43,694","46,913",6.6,7.4
Klamath,"39,777","40,457","44,513",1.7,10.0
Lake,"40,373","41,826","47,402",3.6,13.3
Lane,"44,957","45,960","49,583",2.2,7.9
Lincoln,"43,858","44,689","47,231",1.9,5.7
Linn,"42,811","43,971","48,040",2.7,9.3
Malheur,"31,610","33,562","37,964",6.2,13.1
Marion,"42,383","44,464","48,135",4.9,8.3
Morrow,"45,016","48,535","58,541",7.8,20.6
Multnomah,"57,195","59,402","63,852",3.9,7.5
Polk,"41,045","42,718","45,660",4.1,6.9
Sherman,"54,618","57,119","66,349",4.6,16.2
Tillamook,"43,619","44,607","48,060",2.3,7.7
Umatilla,"39,728","41,267","46,209",3.9,12.0
Union,"39,755","40,881","45,242",2.8,10.7
Wallowa,"43,273","45,435","50,303",5.0,10.7
Wasco,"42,673","43,397","48,643",1.7,12.1
Washington,"60,999","63,425","66,831",4.0,5.4
Wheeler,"35,656","37,385","41,366",4.8,10.6
Yamhill,"45,273","47,151","51,028",4.1,8.2
Pennsylvania,"55,924","57,596","61,700",3.0,7.1
Adams,"48,826","50,785","54,172",4.0,6.7
Allegheny,"63,371","64,718","68,777",2.1,6.3
Armstrong,"44,955","47,058","51,200",4.7,8.8
Beaver,"48,416","50,385","55,449",4.1,10.1
Bedford,"41,911","42,762","46,246",2.0,8.1
Berks,"49,549","51,606","55,953",4.2,8.4
Blair,"46,236","47,573","52,096",2.9,9.5
Bradford,"40,626","43,071","45,979",6.0,6.8
Bucks,"73,655","76,502","80,627",3.9,5.4
Butler,"58,575","60,995","64,732",4.1,6.1
Cambria,"43,050","44,620","48,637",3.6,9.0
Cameron,"48,251","48,108","53,654",-0.3,11.5
Carbon,"51,641","52,887","56,868",2.4,7.5
Centre,"46,210","47,947","50,615",3.8,5.6
Chester,"84,955","88,403","91,927",4.1,4.0
Clarion,"40,756","42,015","45,427",3.1,8.1
Clearfield,"44,839","46,443","50,648",3.6,9.1
Clinton,"39,382","42,765","46,338",8.6,8.4
Columbia,"42,286","43,558","47,464",3.0,9.0
Crawford,"40,644","42,127","46,356",3.6,10.0
Cumberland,"55,119","57,256","61,596",3.9,7.6
Dauphin,"50,878","52,892","56,792",4.0,7.4
Delaware,"67,223","69,950","73,588",4.1,5.2
Elk,"48,420","48,791","53,592",0.8,9.8
Erie,"44,740","46,259","50,536",3.4,9.2
Fayette,"42,126","43,522","48,007",3.3,10.3
Forest,"22,919","25,260","28,271",10.2,11.9
Franklin,"46,435","48,014","51,979",3.4,8.3
Fulton,"44,740","45,483","48,976",1.7,7.7
Greene,"43,093","44,600","49,103",3.5,10.1
Huntingdon,"37,957","39,381","43,555",3.8,10.6
Indiana,"39,749","41,155","44,472",3.5,8.1
Jefferson,"44,101","45,191","48,971",2.5,8.4
Juniata,"44,984","45,746","50,257",1.7,9.9
Lackawanna,"47,013","48,388","52,580",2.9,8.7
Lancaster,"52,682","54,529","58,434",3.5,7.2
Lawrence,"43,478","44,844","49,059",3.1,9.4
Lebanon,"47,772","49,099","52,743",2.8,7.4
Lehigh,"52,315","54,308","58,402",3.8,7.5
Luzerne,"44,535","45,938","50,391",3.2,9.7
Lycoming,"43,070","44,688","48,721",3.8,9.0
McKean,"43,965","44,352","47,361",0.9,6.8
Mercer,"42,121","43,102","47,063",2.3,9.2
Mifflin,"39,351","40,186","44,242",2.1,10.1
Monroe,"42,708","44,150","48,409",3.4,9.6
Montgomery,"79,439","82,176","86,340",3.4,5.1
Montour,"56,876","58,284","62,658",2.5,7.5
Northampton,"54,861","56,607","60,179",3.2,6.3
Northumberland,"41,104","42,867","47,336",4.3,10.4
Perry,"45,096","46,662","50,095",3.5,7.4
Philadelphia,"54,467","54,163","58,941",-0.6,8.8
Pike,"48,397","50,631","53,289",4.6,5.2
Potter,"44,241","44,771","47,910",1.2,7.0
Schuylkill,"41,982","43,420","47,425",3.4,9.2
Snyder,"41,998","42,902","47,000",2.2,9.6
Somerset,"41,252","42,782","47,035",3.7,9.9
Sullivan,"46,008","48,102","51,266",4.6,6.6
Susquehanna,"44,695","46,787","49,114",4.7,5.0
Tioga,"39,902","41,923","45,319",5.1,8.1
Union,"40,256","41,982","45,235",4.3,7.7
Venango,"41,621","43,388","47,125",4.2,8.6
Warren,"41,764","43,077","46,793",3.1,8.6
Washington,"58,264","58,216","62,473",-0.1,7.3
Wayne,"44,004","45,429","49,172",3.2,8.2
Westmoreland,"51,729","53,750","57,951",3.9,7.8
Wyoming,"45,540","47,177","50,959",3.6,8.0
York,"50,069","52,015","55,761",3.9,7.2
Rhode Island,"54,158","56,616","60,825",4.5,7.4
Bristol,"76,358","79,976","83,127",4.7,3.9
Kent,"58,728","61,199","65,299",4.2,6.7
Newport,"68,549","72,569","76,214",5.9,5.0
Providence,"47,139","49,258","53,844",4.5,9.3
Washington,"65,638","68,421","71,717",4.2,4.8
South Carolina,"43,711","45,455","48,021",4.0,5.6
Abbeville,"33,475","35,065","38,033",4.7,8.5
Aiken,"42,510","44,503","47,118",4.7,5.9
Allendale,"32,254","33,110","38,991",2.7,17.8
Anderson,"39,926","41,306","43,459",3.5,5.2
Bamberg,"33,122","34,611","37,596",4.5,8.6
Barnwell,"33,479","35,961","38,682",7.4,7.6
Beaufort,"56,461","59,377","61,298",5.2,3.2
Berkeley,"40,895","41,968","44,134",2.6,5.2
Calhoun,"39,327","41,620","44,655",5.8,7.3
Charleston,"60,885","64,486","66,656",5.9,3.4
Cherokee,"32,282","33,738","36,567",4.5,8.4
Chester,"33,259","35,664","38,931",7.2,9.2
Chesterfield,"31,234","32,535","34,477",4.2,6.0
Clarendon,"33,477","34,665","38,001",3.5,9.6
Colleton,"35,446","37,026","40,336",4.5,8.9
Darlington,"37,281","39,085","41,928",4.8,7.3
Dillon,"28,730","30,468","33,030",6.0,8.4
Dorchester,"39,053","40,840","42,662",4.6,4.5
Edgefield,"35,665","37,506","41,178",5.2,9.8
Fairfield,"37,075","38,277","41,827",3.2,9.3
Florence,"41,586","43,759","46,749",5.2,6.8
Georgetown,"47,054","49,260","51,775",4.7,5.1
Greenville,"48,361","49,742","52,213",2.9,5.0
Greenwood,"36,498","38,031","40,786",4.2,7.2
Hampton,"32,353","33,833","39,185",4.6,15.8
Horry,"38,025","39,633","42,110",4.2,6.2
Jasper,"30,350","31,847","34,446",4.9,8.2
Kershaw,"41,317","43,196","45,782",4.5,6.0
Lancaster,"50,863","50,584","52,999",-0.5,4.8
Laurens,"34,948","35,796","38,108",2.4,6.5
Lee,"31,482","33,349","36,638",5.9,9.9
Lexington,"46,715","47,789","50,188",2.3,5.0
McCormick,"38,947","39,949","42,422",2.6,6.2
Marion,"31,711","33,465","36,606",5.5,9.4
Marlboro,"31,809","32,379","35,748",1.8,10.4
Newberry,"37,278","39,210","41,910",5.2,6.9
Oconee,"44,204","45,471","47,511",2.9,4.5
Orangeburg,"33,856","35,700","38,730",5.4,8.5
Pickens,"38,546","39,845","41,770",3.4,4.8
Richland,"45,001","46,806","49,678",4.0,6.1
Saluda,"34,123","35,242","37,637",3.3,6.8
Spartanburg,"42,669","44,151","46,543",3.5,5.4
Sumter,"38,697","39,812","43,003",2.9,8.0
Union,"32,501","34,618","37,515",6.5,8.4
Williamsburg,"32,238","34,626","38,528",7.4,11.3
York,"47,270","48,729","51,772",3.1,6.2
South Dakota,"52,346","54,725","59,281",4.5,8.3
Aurora,"38,650","40,817","50,586",5.6,23.9
Beadle,"48,196","49,575","54,493",2.9,9.9
Bennett,"34,870","35,761","41,856",2.6,17.0
Bon Homme,"38,666","40,508","43,555",4.8,7.5
Brookings,"45,723","46,641","49,278",2.0,5.7
Brown,"54,506","55,796","62,587",2.4,12.2
Brule,"46,740","45,527","54,352",-2.6,19.4
Buffalo,"22,516","20,290","26,748",-9.9,31.8
Butte,"38,305","39,261","41,250",2.5,5.1
Campbell,"51,225","46,477","71,645",-9.3,54.2
Charles Mix,"38,892","40,591","47,405",4.4,16.8
Clark,"46,343","45,543","70,492",-1.7,54.8
Clay,"39,107","41,042","43,533",4.9,6.1
Codington,"49,412","51,774","55,331",4.8,6.9
Corson,"26,401","26,983","31,442",2.2,16.5
Custer,"48,601","50,722","53,169",4.4,4.8
Davison,"51,328","53,116","55,832",3.5,5.1
Day,"47,677","46,160","64,064",-3.2,38.8
Deuel,"49,128","50,426","62,036",2.6,23.0
Dewey,"35,774","37,947","45,889",6.1,20.9
Douglas,"51,585","58,104","62,134",12.6,6.9
Edmunds,"55,787","53,872","67,747",-3.4,25.8
Fall River,"45,718","47,264","51,509",3.4,9.0
Faulk,"52,102","54,756","67,007",5.1,22.4
Grant,"54,518","54,847","65,019",0.6,18.5
Gregory,"43,087","44,000","50,244",2.1,14.2
Haakon,"55,317","49,797","66,588",-10.0,33.7
Hamlin,"43,833","43,006","51,773",-1.9,20.4
Hand,"56,496","54,692","69,452",-3.2,27.0
Hanson,"61,066","64,561","72,728",5.7,12.7
Harding,"45,002","49,543","50,355",10.1,1.6
Hughes,"51,546","54,779","55,872",6.3,2.0
Hutchinson,"50,158","55,464","59,341",10.6,7.0
Hyde,"48,354","47,737","64,756",-1.3,35.7
Jackson,"27,166","26,065","30,705",-4.1,17.8
Jerauld,"40,563","38,762","49,991",-4.4,29.0
Jones,"51,104","56,772","59,264",11.1,4.4
Kingsbury,"54,927","57,411","70,268",4.5,22.4
Lake,"48,748","51,379","57,367",5.4,11.7
Lawrence,"51,448","54,028","55,779",5.0,3.2
Lincoln,"69,095","72,019","74,493",4.2,3.4
Lyman,"40,793","40,660","46,934",-0.3,15.4
McCook,"48,670","54,193","60,576",11.3,11.8
McPherson,"43,890","42,136","60,086",-4.0,42.6
Marshall,"46,592","48,363","65,540",3.8,35.5
Meade,"43,728","44,980","49,875",2.9,10.9
Mellette,"30,341","28,996","33,840",-4.4,16.7
Miner,"46,460","49,665","65,604",6.9,32.1
Minnehaha,"58,244","62,084","64,846",6.6,4.4
Moody,"50,141","50,945","60,754",1.6,19.3
Oglala Lakota,"25,301","25,631","29,721",1.3,16.0
Pennington,"51,870","53,913","56,496",3.9,4.8
Perkins,"39,720","39,976","48,591",0.6,21.6
Potter,"67,134","76,433","87,915",13.9,15.0
Roberts,"37,798","37,023","46,059",-2.1,24.4
Sanborn,"46,747","51,917","61,709",11.1,18.9
Spink,"55,043","54,447","71,321",-1.1,31.0
Stanley,"57,943","60,316","60,870",4.1,0.9
Sully,"73,202","77,485","100,301",5.9,29.4
Todd,"24,957","25,643","28,440",2.7,10.9
Tripp,"49,622","49,545","56,765",-0.2,14.6
Turner,"51,734","63,313","69,250",22.4,9.4
Union,"115,194","119,482","123,000",3.7,2.9
Walworth,"46,274","46,799","54,033",1.1,15.5
Yankton,"49,826","51,910","55,638",4.2,7.2
Ziebach,"19,606","19,084","26,103",-2.7,36.8
Tennessee,"47,203","49,009","51,046",3.8,4.2
Anderson,"41,893","43,407","46,225",3.6,6.5
Bedford,"37,672","39,615","41,795",5.2,5.5
Benton,"33,306","34,016","36,438",2.1,7.1
Bledsoe,"25,985","27,368","29,572",5.3,8.1
Blount,"44,203","45,831","48,601",3.7,6.0
Bradley,"39,210","40,232","42,546",2.6,5.8
Campbell,"33,392","34,786","37,229",4.2,7.0
Cannon,"35,134","37,077","39,178",5.5,5.7
Carroll,"35,270","37,737","38,461",7.0,1.9
Carter,"33,568","34,405","36,431",2.5,5.9
Cheatham,"44,359","46,759","48,180",5.4,3.0
Chester,"33,333","34,545","38,107",3.6,10.3
Claiborne,"35,044","36,101","38,347",3.0,6.2
Clay,"31,187","31,783","34,456",1.9,8.4
Cocke,"32,009","33,399","36,279",4.3,8.6
Coffee,"38,653","40,850","42,990",5.7,5.2
Crockett,"37,655","41,632","42,410",10.6,1.9
Cumberland,"36,788","38,091","40,087",3.5,5.2
Davidson,"68,709","72,602","71,659",5.7,-1.3
Decatur,"41,223","42,266","44,401",2.5,5.1
DeKalb,"40,084","40,279","42,229",0.5,4.8
Dickson,"40,690","42,900","44,476",5.4,3.7
Dyer,"39,632","41,977","44,761",5.9,6.6
Fayette,"54,901","57,066","59,214",3.9,3.8
Fentress,"32,626","34,497","36,398",5.7,5.5
Franklin,"38,861","40,520","42,890",4.3,5.8
Gibson,"37,329","39,528","41,846",5.9,5.9
Giles,"37,826","38,704","41,074",2.3,6.1
Grainger,"33,784","34,803","37,480",3.0,7.7
Greene,"36,049","37,027","39,310",2.7,6.2
Grundy,"32,199","33,228","36,129",3.2,8.7
Hamblen,"36,902","38,247","40,627",3.6,6.2
Hamilton,"51,815","53,075","55,911",2.4,5.3
Hancock,"26,585","28,122","31,243",5.8,11.1
Hardeman,"28,861","30,752","33,036",6.6,7.4
Hardin,"39,115","40,449","43,171",3.4,6.7
Hawkins,"34,219","35,014","37,460",2.3,7.0
Haywood,"32,461","35,375","37,669",9.0,6.5
Henderson,"35,513","37,241","39,940",4.9,7.2
Henry,"40,499","42,222","44,075",4.3,4.4
Hickman,"32,957","34,738","36,316",5.4,4.5
Houston,"31,883","33,950","36,777",6.5,8.3
Humphreys,"37,768","39,622","41,569",4.9,4.9
Jackson,"30,794","32,114","34,645",4.3,7.9
Jefferson,"36,866","37,933","40,493",2.9,6.7
Johnson,"31,966","33,474","35,745",4.7,6.8
Knox,"50,433","52,422","54,642",3.9,4.2
Lake,"20,965","24,660","25,921",17.6,5.1
Lauderdale,"29,597","32,428","35,267",9.6,8.8
Lawrence,"34,072","35,698","37,918",4.8,6.2
Lewis,"34,352","36,353","38,830",5.8,6.8
Lincoln,"39,908","42,372","45,271",6.2,6.8
Loudon,"49,063","51,615","53,519",5.2,3.7
McMinn,"36,153","37,429","39,986",3.5,6.8
McNairy,"32,423","33,512","35,687",3.4,6.5
Macon,"32,693","33,428","35,472",2.2,6.1
Madison,"42,109","43,702","46,574",3.8,6.6
Marion,"38,905","39,769","42,471",2.2,6.8
Marshall,"37,841","39,833","42,427",5.3,6.5
Maury,"42,735","44,739","47,100",4.7,5.3
Meigs,"33,424","34,845","37,539",4.3,7.7
Monroe,"34,086","35,367","37,822",3.8,6.9
Montgomery,"42,296","43,499","45,871",2.8,5.5
Moore,"39,943","42,431","44,085",6.2,3.9
Morgan,"29,771","31,405","33,373",5.5,6.3
Obion,"40,075","42,277","45,152",5.5,6.8
Overton,"34,194","34,877","37,105",2.0,6.4
Perry,"34,223","35,430","37,130",3.5,4.8
Pickett,"39,291","39,620","40,804",0.8,3.0
Polk,"33,383","34,807","36,639",4.3,5.3
Putnam,"39,472","40,731","42,722",3.2,4.9
Rhea,"34,323","35,370","38,408",3.1,8.6
Roane,"40,960","42,389","44,706",3.5,5.5
Robertson,"42,230","44,732","46,746",5.9,4.5
Rutherford,"41,782","43,095","45,374",3.1,5.3
Scott,"30,328","30,963","33,425",2.1,8.0
Sequatchie,"37,958","39,241","42,009",3.4,7.1
Sevier,"40,421","42,321","44,209",4.7,4.5
Shelby,"49,022","50,468","53,855",2.9,6.7
Smith,"38,691","40,995","42,452",6.0,3.6
Stewart,"40,457","41,972","44,108",3.7,5.1
Sullivan,"42,652","43,657","45,789",2.4,4.9
Sumner,"49,180","50,947","52,403",3.6,2.9
Tipton,"39,082","40,778","43,147",4.3,5.8
Trousdale,"30,371","31,367","32,960",3.3,5.1
Unicoi,"35,914","37,152","39,357",3.4,5.9
Union,"32,354","33,203","35,370",2.6,6.5
Van Buren,"30,522","32,380","34,084",6.1,5.3
Warren,"34,230","35,394","37,857",3.4,7.0
Washington,"43,345","45,216","47,940",4.3,6.0
Wayne,"27,894","29,251","32,631",4.9,11.6
Weakley,"36,067","38,611","41,159",7.1,6.6
White,"32,655","34,442","36,062",5.5,4.7
Williamson,"94,251","95,520","94,748",1.3,-0.8
Wilson,"50,027","51,689","53,628",3.3,3.8
Texas,"51,813","53,266","55,129",2.8,3.5
Anderson,"34,537","36,332","38,807",5.2,6.8
Andrews,"51,303","52,626","50,248",2.6,-4.5
Angelina,"39,191","40,074","42,536",2.3,6.1
Aransas,"51,761","53,776","54,374",3.9,1.1
Archer,"49,747","52,661","55,290",5.9,5.0
Armstrong,"52,242","54,733","60,233",4.8,10.0
Atascosa,"38,275","39,511","41,599",3.2,5.3
Austin,"50,078","54,075","55,686",8.0,3.0
Bailey,"42,425","44,519","49,737",4.9,11.7
Bandera,"45,407","47,434","48,461",4.5,2.2
Bastrop,"37,728","39,953","42,177",5.9,5.6
Baylor,"44,551","47,327","53,984",6.2,14.1
Bee,"29,029","30,533","31,834",5.2,4.3
Bell,"43,153","44,088","46,594",2.2,5.7
Bexar,"47,148","46,569","48,569",-1.2,4.3
Blanco,"54,671","56,996","58,805",4.3,3.2
Borden,"70,068","72,732","66,783",3.8,-8.2
Bosque,"41,643","42,939","45,635",3.1,6.3
Bowie,"40,037","41,325","44,151",3.2,6.8
Brazoria,"47,606","50,207","51,812",5.5,3.2
Brazos,"40,673","41,414","43,430",1.8,4.9
Brewster,"47,655","49,708","52,483",4.3,5.6
Briscoe,"42,860","45,326","45,758",5.8,1.0
Brooks,"34,943","36,599","41,529",4.7,13.5
Brown,"39,471","40,449","42,771",2.5,5.7
Burleson,"46,046","47,155","49,975",2.4,6.0
Burnet,"49,472","51,949","53,751",5.0,3.5
Caldwell,"33,879","36,243","38,734",7.0,6.9
Calhoun,"44,695","53,562","52,180",19.8,-2.6
Callahan,"40,619","43,250","45,798",6.5,5.9
Cameron,"28,978","30,187","33,690",4.2,11.6
Camp,"37,959","37,569","40,272",-1.0,7.2
Carson,"43,792","49,781","48,021",13.7,-3.5
Cass,"36,686","38,115","41,275",3.9,8.3
Castro,"59,156","66,391","71,612",12.2,7.9
Chambers,"55,941","57,321","59,687",2.5,4.1
Cherokee,"34,955","35,533","38,190",1.7,7.5
Childress,"29,745","31,161","34,028",4.8,9.2
Clay,"43,189","45,128","48,038",4.5,6.4
Cochran,"37,200","39,837","44,903",7.1,12.7
Coke,"42,101","42,732","45,856",1.5,7.3
Coleman,"41,128","43,843","47,128",6.6,7.5
Collin,"67,589","69,451","71,246",2.8,2.6
Collingsworth,"37,712","42,198","44,903",11.9,6.4
Colorado,"46,250","48,393","51,732",4.6,6.9
Comal,"61,015","61,124","62,994",0.2,3.1
Comanche,"40,867","43,454","47,959",6.3,10.4
Concho,"34,054","36,149","41,219",6.2,14.0
Cooke,"52,068","52,968","54,759",1.7,3.4
Coryell,"35,033","35,551","38,222",1.5,7.5
Cottle,"64,041","60,462","68,268",-5.6,12.9
Crane,"49,725","53,114","49,749",6.8,-6.3
Crockett,"43,427","45,530","46,364",4.8,1.8
Crosby,"34,922","39,390","41,146",12.8,4.5
Culberson,"55,204","60,264","69,350",9.2,15.1
Dallam,"57,869","62,851","65,132",8.6,3.6
Dallas,"60,971","63,591","65,401",4.3,2.8
Dawson,"41,559","40,148","42,595",-3.4,6.1
Deaf Smith,"47,907","51,218","54,950",6.9,7.3
Delta,"38,536","40,320","43,628",4.6,8.2
Denton,"58,825","60,535","63,283",2.9,4.5
DeWitt,"63,031","63,242","60,890",0.3,-3.7
Dickens,"32,798","34,922","38,730",6.5,10.9
Dimmit,"38,089","41,979","44,874",10.2,6.9
Donley,"45,390","43,788","45,336",-3.5,3.5
Duval,"37,548","38,598","42,410",2.8,9.9
Eastland,"78,863","66,664","65,416",-15.5,-1.9
